Title,Link,Runtime,Genres,Parental Guidelines,Stars
Only Murders in the Building,http://www.imdb.com/title/tt11691774,30 min,"['Comedy', 'Crime', 'Drama']",TV-MA,"['Steve Martin', 'Martin Short', 'Selena Gomez', 'Michael Cyril Creighton']"
And Just Like That...,http://www.imdb.com/title/tt13819960,40 min,"['Comedy', 'Drama', 'Romance']",TV-MA,"['Sarah Jessica Parker', 'Cynthia Nixon', 'Kristin Davis', 'Sara Ramirez']"
Foundation,http://www.imdb.com/title/tt0804484,60 min,"['Drama', 'Sci-Fi']",TV-14,"['Jared Harris', 'Terrence Mann', 'Lou Llobell', 'Leah Harvey']"
Invasion,http://www.imdb.com/title/tt9737326,60 min,"['Drama', 'Fantasy', 'Sci-Fi']",TV-MA,"['Golshifteh Farahani', 'Shamier Anderson', 'Shioli Kutsuna', 'Billy Barratt']"
Ted Lasso,http://www.imdb.com/title/tt10986410,30 min,"['Comedy', 'Drama', 'Sport']",TV-MA,"['Jason Sudeikis', 'Brett Goldstein', 'Brendan Hunt', 'Nick Mohammed']"
Reservation Dogs,http://www.imdb.com/title/tt13623580,30 min,"['Comedy', 'Crime']",TV-MA,"[""D'Pharaoh Woon-A-Tai"", 'Devery Jacobs', 'Lane Factor', 'Paulina Alexis']"
The White Lotus,http://www.imdb.com/title/tt13406094,60 min,"['Comedy', 'Drama']",TV-MA,"['Jennifer Coolidge', 'Jon Gries', 'F. Murray Abraham', 'Adam DiMarco']"
The Wheel of Time,http://www.imdb.com/title/tt7462410,60 min,"['Action', 'Adventure', 'Drama']",TV-14,"['Rosamund Pike', 'Daniel Henney', 'Madeleine Madden', 'Zoë Robins']"
Yellowjackets,http://www.imdb.com/title/tt11041332,60 min,"['Drama', 'Horror', 'Mystery']",TV-MA,"['Melanie Lynskey', 'Tawny Cypress', 'Sophie Nélisse', 'Jasmin Savoy Brown']"
Cruel Summer,http://www.imdb.com/title/tt11083696,45 min,"['Drama', 'Mystery', 'Thriller']",TV-14,"['Chiara Aurelia', 'Olivia Holt', 'Sadie Stanley', 'Lexi Underwood']"
Solar Opposites,http://www.imdb.com/title/tt8910922,22 min,"['Animation', 'Adventure', 'Comedy']",TV-MA,"['Thomas Middleditch', 'Sean Giambrone', 'Mary Mack', 'Sagan McMahan']"
Sweet Magnolias,http://www.imdb.com/title/tt9077540,,"['Drama', 'Romance']",TV-14,"['JoAnna Garcia Swisher', 'Brooke Elliott', 'Heather Headley', 'Logan Allen']"
Physical,http://www.imdb.com/title/tt11828492,30 min,"['Comedy', 'Drama']",TV-MA,"['Rose Byrne', 'Rory Scovel', 'Paul Sparks', 'Dierdre Friel']"
Invincible,http://www.imdb.com/title/tt6741278,50 min,"['Animation', 'Action', 'Adventure']",TV-MA,"['Steven Yeun', 'J.K. Simmons', 'Sandra Oh', 'Zazie Beetz']"
Loki,http://www.imdb.com/title/tt9140554,53 min,"['Action', 'Adventure', 'Fantasy']",TV-14,"['Tom Hiddleston', 'Owen Wilson', 'Gugu Mbatha-Raw', 'Sophia Di Martino']"
Joe Pickett,http://www.imdb.com/title/tt14271652,50 min,"['Drama', 'Western']",TV-14,"['Michael Dorman', 'Julianna Guill', 'Sharon Lawrence', 'Mustafa Speaks']"
Superman & Lois,http://www.imdb.com/title/tt11192306,42 min,"['Action', 'Adventure', 'Drama']",TV-PG,"['Tyler Hoechlin', 'Elizabeth Tulloch', 'Alex Garfin', 'Erik Valdez']"
Bridgerton,http://www.imdb.com/title/tt8740790,60 min,"['Drama', 'History', 'Romance']",TV-MA,"['Nicola Coughlan', 'Julie Andrews', 'Luke Newton', 'Claudia Jessie']"
Heels,http://www.imdb.com/title/tt6554240,60 min,"['Drama', 'Sport']",TV-MA,"['Stephen Amell', 'Alexander Ludwig', 'Alison Luff', 'Kelli Berglund']"
